date,used_value,source_observation_date,source_available_at,elapsed_days,in_train,in_val
2018-09-20,1.775,2018-08-31,2018-09-07,13,True,False
2018-09-21,1.775,2018-08-31,2018-09-07,14,True,False
2018-09-24,1.775,2018-08-31,2018-09-07,17,True,False
2018-09-25,1.775,2018-08-31,2018-09-07,18,True,False
2018-09-26,1.775,2018-08-31,2018-09-07,19,True,False
2018-09-27,1.775,2018-08-31,2018-09-07,20,True,False
2018-09-28,1.775,2018-08-31,2018-09-07,21,True,False
2018-10-01,1.775,2018-08-31,2018-09-07,24,True,False
2018-10-02,1.775,2018-08-31,2018-09-07,25,True,False
2018-10-03,1.894,2018-09-30,2018-10-03,0,True,False
2018-10-04,1.894,2018-09-30,2018-10-03,1,True,False
2018-10-05,1.894,2018-09-30,2018-10-03,2,True,False
2018-10-08,1.894,2018-09-30,2018-10-03,5,True,False
2018-10-09,1.894,2018-09-30,2018-10-03,6,True,False
2018-10-10,1.894,2018-09-30,2018-10-03,7,True,False
2018-10-11,1.894,2018-09-30,2018-10-03,8,True,False
2018-10-12,1.894,2018-09-30,2018-10-03,9,True,False
2018-10-15,1.894,2018-09-30,2018-10-03,12,True,False
2018-10-16,1.894,2018-09-30,2018-10-03,13,True,False
2018-10-17,1.894,2018-09-30,2018-10-03,14,True,False
2018-10-18,1.894,2018-09-30,2018-10-03,15,True,False
2018-10-19,1.894,2018-09-30,2018-10-03,16,True,False
2018-10-22,1.894,2018-09-30,2018-10-03,19,True,False
2018-10-23,1.894,2018-09-30,2018-10-03,20,True,False
2018-10-24,1.894,2018-09-30,2018-10-03,21,True,False
2018-10-25,1.894,2018-09-30,2018-10-03,22,True,False
2018-10-26,1.894,2018-09-30,2018-10-03,23,True,False
2018-10-29,1.894,2018-09-30,2018-10-03,26,True,False
2018-10-30,1.894,2018-09-30,2018-10-03,27,True,False
2018-10-31,1.894,2018-09-30,2018-10-03,28,True,False
2018-11-01,1.894,2018-09-30,2018-10-03,29,True,False
2018-11-02,1.894,2018-09-30,2018-10-03,30,True,False
2018-11-08,1.736,2018-10-31,2018-11-08,0,True,False
2018-11-09,1.736,2018-10-31,2018-11-08,1,True,False
2018-11-12,1.736,2018-10-31,2018-11-08,4,True,False
2018-11-13,1.736,2018-10-31,2018-11-08,5,True,False
