date,direction,day_total_veh,hours_present,hours_missing
2015-11-18,7,3264,24,0
2015-11-19,3,3332,24,0
2015-11-19,7,3311,24,0
2015-11-20,3,3892,24,0
2015-11-20,7,3736,24,0
2015-11-21,3,2739,24,0
2015-11-21,7,2837,24,0
2015-11-22,3,2118,24,0
2015-11-22,7,2205,24,0
2015-11-23,3,3238,24,0
2015-11-23,7,3228,24,0
2015-11-24,3,3529,24,0
2015-11-24,7,3522,24,0
2015-11-25,3,3432,24,0
2015-11-25,7,3329,24,0
2015-11-26,3,2377,24,0
2015-11-26,7,2415,24,0
2015-11-27,3,2110,24,0
2015-11-27,7,2158,24,0
2015-11-28,3,1746,24,0
2015-11-28,7,1921,24,0
2015-11-29,3,1993,24,0
2015-11-29,7,2036,24,0
2015-11-30,3,2921,24,0
2015-11-30,7,2974,24,0
2015-12-01,3,3139,24,0
2015-12-01,7,3190,24,0
2015-12-02,3,3123,24,0
2015-12-02,7,3191,24,0
2015-12-03,3,3367,24,0
2015-12-03,7,3354,24,0
2015-12-04,3,3529,24,0
2015-12-04,7,3534,24,0
2015-12-05,3,2764,24,0
2015-12-05,7,2824,24,0
2015-12-06,3,2098,24,0
2015-12-06,7,2062,24,0
2015-12-07,3,3245,24,0
2015-12-07,7,3243,24,0
2015-12-08,3,3261,24,0
2015-12-08,7,3232,24,0
2015-12-09,3,3323,24,0
2015-12-09,7,3284,24,0
2015-12-10,3,3502,24,0
2015-12-10,7,3463,24,0
2015-12-11,3,3696,24,0
2015-12-11,7,3743,24,0
2015-12-12,3,2955,24,0
2015-12-12,7,2997,24,0
2015-12-13,3,1944,24,0
2015-12-13,7,1901,24,0
2015-12-15,3,3211,24,0
2015-12-15,7,3200,24,0
2015-12-16,3,3319,24,0
2015-12-16,7,3315,24,0
2015-12-17,3,3295,24,0
2015-12-17,7,3357,24,0
2015-12-18,3,3670,24,0
2015-12-18,7,3665,24,0
2015-12-19,3,2806,24,0
2015-12-19,7,2815,24,0
2015-12-20,3,2140,24,0
2015-12-20,7,2150,24,0
2015-12-21,3,3257,24,0
2015-12-21,7,3272,24,0
2015-12-22,3,3286,24,0
2015-12-22,7,3265,24,0
2015-12-23,3,3456,24,0
2015-12-23,7,3455,24,0
2015-12-24,3,2817,24,0
2015-12-24,7,2737,24,0
2015-12-25,3,2145,24,0
2015-12-25,7,2135,24,0
2015-12-26,3,2047,24,0
2015-12-26,7,2062,24,0
2015-12-27,3,1015,24,0
2015-12-27,7,1096,24,0
2015-12-28,3,1326,24,0
2015-12-28,7,1352,24,0
2015-12-29,3,2398,24,0
2015-12-29,7,2485,24,0
2015-12-30,3,2819,24,0
2015-12-30,7,2869,24,0
2015-12-31,3,2825,24,0
2015-12-31,7,2899,24,0
2016-01-11,3,3018,24,0
2016-01-11,7,3053,24,0
2016-01-12,3,3115,24,0
2016-01-12,7,3099,24,0
2016-01-13,3,3175,24,0
2016-01-13,7,3210,24,0
2016-01-14,3,3262,24,0
2016-01-14,7,3225,24,0
2016-01-15,3,3497,24,0
2016-01-15,7,3560,24,0
2016-01-16,3,2425,24,0
2016-01-16,7,2423,24,0
2016-01-17,3,1796,24,0
2016-01-17,7,1862,24,0
2016-01-18,3,2838,24,0
2016-01-18,7,2889,24,0
2016-01-19,3,3205,24,0
2016-01-19,7,3205,24,0
2016-01-20,3,3021,24,0
2016-01-20,7,3069,24,0
2016-01-21,3,3089,24,0
2016-01-21,7,3064,24,0
2016-01-22,3,3271,24,0
2016-01-22,7,3224,24,0
2016-01-23,3,2664,24,0
2016-01-23,7,2693,24,0
2016-01-24,3,1947,24,0
2016-01-24,7,1923,24,0
2016-01-25,3,3049,24,0
2016-01-25,7,3108,24,0
2016-01-26,3,3201,24,0
2016-01-26,7,3143,24,0
2016-01-27,3,3130,24,0
2016-01-27,7,3156,24,0
2016-01-28,3,3255,24,0
2016-01-28,7,3258,24,0
2016-01-29,3,3656,24,0
2016-01-29,7,3635,24,0
2016-01-30,3,2847,24,0
2016-01-30,7,2900,24,0
2016-01-31,3,2067,24,0
2016-01-31,7,2142,24,0
2016-02-01,3,3343,24,0
2016-02-01,7,3398,24,0
2016-02-02,3,3325,24,0
2016-02-02,7,3220,24,0
2016-02-03,3,3296,24,0
2016-02-03,7,3298,24,0
2016-02-04,3,3218,24,0
2016-02-04,7,3240,24,0
2016-02-05,3,3576,24,0
2016-02-05,7,3508,24,0
2016-02-06,3,2777,24,0
2016-02-06,7,2778,24,0
2016-02-07,3,2005,24,0
2016-02-07,7,2050,24,0
2016-02-08,3,3056,24,0
2016-02-08,7,3209,24,0
